AgentID,AgentLabel,SuperSpreader,SuperFriend,GeneralInfluencer,EigenvectorCentrality,
1194720234017558528,Heathermarymag,0.036,0,0.111,0.038,
4768761692,abamsetiawan,0.005,0,0.006,7.849e-04,
1439459798307704832,Epicenter_Migo,0.005,0,0.020,7.849e-04,
1105092959584706560,wendysa85396804,0.005,0,0.006,7.849e-04,
1449085848444493825,BurrisSuarez,0.066,0,0.150,0.019,
144048904,Lugovalos,0.011,0,0.021,0.002,
1043769358604894208,youruniv3rse,0.005,0,0.007,7.849e-04,
1309488436055736323,AnamayLegani,0.011,0,0.021,0.002,
1273623984576307203,FELIXJRSANBUEN1,0.005,0,0.018,7.849e-04,
1383534278416297993,BenigWillie,0.005,0,0.007,7.849e-04,
4897657179,rhoafd,0.005,0,0.018,7.849e-04,
1375834973148573700,SummerR06506635,0.005,0,0.018,7.849e-04,
1398418200,Carl0sCastellon,0.017,0,0.033,0.004,
1499340884307234816,moonplanets3,0.005,0,0.018,7.849e-04,
43505446,MindanaoExamine,0.011,0,0.020,7.849e-04,
800033485918507009,Szymon_KRK,0.005,0,0.006,0.001,
925641636583010304,CAAUniLodz,0.008,0,0.005,0.002,
3036306081,BifolchiG,0.005,0,0.045,0.007,
1504583473,SpecialEurasia,0.006,0,0.042,0.007,
1438398329872732161,Armor3Night,0.005,0,0.018,7.849e-04,
1261421961097342976,MangDonald8,0.005,0,0.007,7.849e-04,
1310620478893993984,MatthewMateo99,0.005,0,0.018,7.849e-04,
1386592115363237893,RexAquinoRoy3,0.005,0,0.018,7.849e-04,
79030985,leahnavarro,0.005,0,0.024,7.849e-04,
1250280653523836935,Bernardcortez45,0.005,0,0.018,7.849e-04,
630902579,BorziMakoy,0.005,0,0.018,7.849e-04,
727844734983647232,ObserwatorMiedz,0.005,0,0.006,0.001,
3351814421,LukasKobierski,0.005,0,0.007,0.001,
35977816,EdwinGalvez,0.005,0,0.019,7.849e-04,
3304835060,QuasarDevera,0.005,0,0.018,7.849e-04,
1189980851532120064,TangoTangoSiera,0.005,0,0.007,0.001,
1278547172,jmscaronte,0.006,0,0.004,0.001,
29411037,boggsmabilog,0.011,0,0.021,0.002,
300670467,serrano_rene,0.005,0,0.020,7.849e-04,
1493051445880373254,AbenganaO,0.005,0,0.018,7.849e-04,
969469599434522624,starveharvat,0.005,0,0.007,7.849e-04,
2926472354,bauerfilipino,0.005,0,0.007,7.849e-04,
1427214287693484034,AnaBananice,0.005,0,0.007,7.849e-04,
1310143698080989184,TcherCarmelita,0.005,0,0.018,7.849e-04,
1375036927489941504,JackRcher,0.005,0,0.007,7.849e-04,
956309804938444800,alvinlibra2018,0.005,0,0.007,7.849e-04,
903474876089999361,engineer_1st,0.005,0,0.018,7.849e-04,
165727849,choihiLario,0.005,0,0.007,7.849e-04,
