Node-Id,Node-Title,inDegreeCentrality-1-Balikatan_2022_Reduced,inDegreeCentrality-1-Balikatan_2022_Reduced-unscaled,inDegreeCentrality-2-Balikatan_2022_Reduced,inDegreeCentrality-2-Balikatan_2022_Reduced-unscaled,twitter-actualInfluencer-1-Balikatan_2022_Reduced,twitter-actualInfluencer-1-Balikatan_2022_Reduced-unscaled,twitter-averageMentionsPerTweet-1-Balikatan_2022_Reduced,twitter-averageMentionsPerTweet-1-Balikatan_2022_Reduced-unscaled,twitter-mostMentioned-1-Balikatan_2022_Reduced,twitter-mostMentioned-1-Balikatan_2022_Reduced-unscaled,twitter-numberOfFollowers-1-Balikatan_2022_Reduced,twitter-numberOfFollowers-1-Balikatan_2022_Reduced-unscaled,twitter-potentialConnectors-1-Balikatan_2022_Reduced,twitter-potentialConnectors-1-Balikatan_2022_Reduced-unscaled,twitter-potentialConsensusLeaders-1-Balikatan_2022_Reduced,twitter-potentialConsensusLeaders-1-Balikatan_2022_Reduced-unscaled,twitter-potentialConsensusLeaders-2-Balikatan_2022_Reduced,twitter-potentialConsensusLeaders-2-Balikatan_2022_Reduced-unscaled,twitter-potentialReach-1-Balikatan_2022_Reduced,twitter-potentialReach-1-Balikatan_2022_Reduced-unscaled,twitter-trustedSource-1-Balikatan_2022_Reduced,twitter-trustedSource-1-Balikatan_2022_Reduced-unscaled,twitter-wantsToBeInfluencer-1-Balikatan_2022_Reduced,twitter-wantsToBeInfluencer-1-Balikatan_2022_Reduced-unscaled,
2951501725,lds123gmailcom1,7.221e-05,1,0,0,1.021e-05,106,0.200,1,0,0,1.199e-05,106,0,3684.535,3.895e-04,0.100,5.728e-04,1.111,0,0,0,0,0.002,2,
140415438,sgon11,7.221e-05,1,0,0,0,3,0.200,1,0,0,0,3,0,104.976,3.895e-04,0.100,5.728e-04,1.111,0,0,0,0,0.002,2,
731886457799999488,Mzahem_Alsaloum,3.610e-04,5,0,0,3.623e-04,3761,0.200,1,0,0,4.255e-04,3761,3.104e-05,345090.312,0.003,0.658,0.002,4.502,0,0,0,0,0.006,7,
876539157060833280,narit_by,7.221e-05,1,0,0,3.080e-04,3197,0.100,0.500,0,0,3.617e-04,3197,1.838e-05,204314.750,0.001,0.305,0.001,2.041,0,0,0,0,0.002,2,
973747534593167360,DopModi,2.166e-04,3,0,0,8.448e-05,877,0.300,1.500,0,0,9.923e-05,877,5.422e-06,60286.594,8.292e-04,0.212,9.963e-04,1.933,0,0,0,0,0.003,4,
1312049760317120513,andreha12765643,5.055e-04,7,0,0,1.609e-05,167,0.175,0.875,0,0,1.889e-05,167,4.158e-06,46226.156,0.004,1.063,0.004,7.583,0,0,0,0,0.006,7,
4861315633,betterworld99,1.444e-04,2,0,0,2.273e-05,236,0.200,1,0,0,2.670e-05,236,1.496e-06,16633.631,0.001,0.263,0.001,2.055,0,0,0,0,0.002,3,
1463109054880837640,lihansheng5,2.166e-04,3,0,0,1.349e-06,14,0.200,1,0,0,1.584e-06,14,0,139.978,2.822e-04,0.072,0.001,2.023,0,0,0,0,0.003,4,
1080597771290271744,grebgrad,0,0,0,0,1.353e-04,1404,0,0,0,0,1.589e-04,1404,0,1404,4.579e-05,0.012,5.536e-05,0.107,0,0,0,0,7.949e-04,1,
1215555400512094210,MgaAwit_,0,0,0,0,3.140e-05,326,0,0,0,0,3.688e-05,326,0,326,4.579e-05,0.012,5.536e-05,0.107,0,0,0,0,7.949e-04,1,
4703100438,seriafx,0,0,0,0,6.319e-05,656,0,0,0,0,7.422e-05,656,0,2635.564,1.560e-04,0.040,2.496e-04,0.484,0,0,0,0,0.002,2,
1032125483519856640,elepsbaguio,0,0,0,0,3.317e-04,3443,0,0,0,0,1.096e-04,969,0,0,8.251e-05,0.021,1.454e-04,0.282,0,1505,0.002,3,7.949e-04,1,
1267218665239220224,iandavidp,0,0,0,0,8.179e-05,849,0,0,0,0,9.606e-05,849,0,849.000,8.251e-05,0.021,9.208e-05,0.179,0,0,0,0,7.949e-04,1,
2982543044,acrpascual,0,0,0,0,9.421e-05,978,0,0,0,0,1.107e-04,978,0,978,4.579e-05,0.012,5.536e-05,0.107,0,0,0,0,7.949e-04,1,
1431456225057595393,deduro_siegfred,0,0,0,0,9.633e-06,100,0,0,0,0,1.131e-05,100,0,100,4.579e-05,0.012,5.536e-05,0.107,0,0,0,0,7.949e-04,1,
421016167,raxhelanne,0,0,0,0,1.263e-04,1311,0,0,0,0,1.483e-04,1311,0,1311,4.579e-05,0.012,5.536e-05,0.107,0,0,0,0,7.949e-04,1,
1662456378,dimasiiilaw,7.221e-05,1,0,0,7.659e-05,795,0.200,1,0,0,8.995e-05,795,0,1590,6.619e-05,0.017,2.500e-04,0.485,0,0,0,0,0.002,2,
1115213444578402304,PilipinasScm,7.221e-05,1,0,0,0.002,16981,0.200,1,0,0,4.642e-04,4103,0,4103,6.619e-05,0.017,2.500e-04,0.485,0,12878,0.006,8,7.949e-04,1,
63689241,TheKejOfGlory,7.221e-05,1,0,0,0.002,24609,0.200,1,0.007,9,8.631e-04,7628,0,7628,6.619e-05,0.017,2.500e-04,0.485,0,9353,0,0,0.002,2,
2912919913,murasakiigasuki,0,0,0,0,5.048e-05,524,0,0,0,0,5.929e-05,524,0,1410.149,5.635e-05,0.014,6.504e-05,0.126,0,0,0,0,7.949e-04,1,
357657083,Nick_VOBG,0,0,1.324e-04,1,7.266e-04,7543,0,0,0,0,8.534e-04,7543,0,7543,5.712e-05,0.015,7.930e-06,0.015,0,0,0,0,7.949e-04,1,
119593082,FOXSoccer,0,0,0,0,0.143,1487212,0,0,0,0,0.167,1479669,0,0,0,0,7.049e-06,0.014,0,7543,7.949e-04,1,0,0,
840438794,PutAhPriceOnIt,0,0,0,0,2.145e-04,2227,0,0,0,0,2.520e-04,2227,0,2227,6.529e-05,0.017,5.904e-05,0.115,0,0,0,0,7.949e-04,1,
1150596617696792576,lafcyak,0,0,1.324e-04,1,3.160e-05,328,0,0,0,0,3.711e-05,328,0,656,1.197e-04,0.031,6.080e-05,0.118,0,0,0,0,0.002,2,
1161821873526755329,KurtStahlUSMC,0,0,0,0,6.743e-06,70,0,0,0,0,7.920e-06,70,0,140,1.675e-04,0.043,8.163e-04,1.584,0,0,0,0,0.002,2,
993308622422556672,LAFCCentralShow,0,0,0,0,2.008e-04,2084,0,0,0,0,1.987e-04,1756,0,0,1.088e-05,0.003,1.762e-06,0.003,0,328,7.949e-04,1,0,0,
1142268080,uAlrdyKnoWaItIz,7.221e-05,1,0,0,7.003e-05,727,0.200,1,0,0,8.226e-05,727,0,727,4.547e-05,0.012,3.830e-04,0.743,0,0,0,0,7.949e-04,1,
1586727434,PVM388,7.221e-05,1,0,0,1.282e-04,1331,0.200,1,0,0,1.506e-04,1331,0,2662,9.806e-05,0.025,6.952e-04,1.349,0,0,0,0,0.002,2,
867527992620089344,CollinSLKoh,0,0,0,0,0.003,28690,0,0,0,0,0.003,27728,0,0,0,0,2.522e-04,0.489,0,962,0.002,2,0,0,
1260901057565204480,abc9861238,1.444e-04,2,0,0,3.975e-04,4126,0.400,2,0,0,4.668e-04,4126,1.170e-05,130034.531,4.397e-04,0.113,4.234e-04,0.821,0,0,0,0,0.002,3,
50960481,JapanRepublican,2.166e-04,3,0,0,5.395e-05,560,0.300,1.500,0,0,6.336e-05,560,3.302e-06,36708.938,9.916e-04,0.254,0.001,1.954,0,0,0,0,0.002,3,
4703767346,coach_donati,1.444e-04,2,0,0,9.113e-05,946,0.400,2,0,0,1.070e-04,946,2.876e-06,31979.752,1.528e-04,0.039,8.919e-04,1.730,0,0,0,0,0.002,3,
114901297,kikitoscout,5.055e-04,7,0,0,1.541e-05,160,0.200,1,0,0,1.810e-05,160,3.008e-06,33444.777,0.003,0.841,0.004,6.808,0,0,0,0,0.006,7,
1273459368890191874,ErskineArmory,1.444e-04,2,0,0,1.349e-06,14,0.400,2,0,0,1.584e-06,14,0,475.472,4.397e-04,0.113,4.234e-04,0.821,0,0,0,0,0.002,3,
1181304724466868224,HermesPaulsen,1.444e-04,2,0,0,6.503e-05,675,0.400,2,0,0,7.637e-05,675,2.008e-06,22329.896,4.397e-04,0.113,4.234e-04,0.821,0,0,0,0,0.002,3,
1512446661070622721,Johnwtroxx,1.444e-04,2,0,0,0,7,0.400,2,0,0,0,7,0,237.866,4.397e-04,0.113,4.234e-04,0.821,0,0,0,0,0.002,3,
2189425016,jjkim091,1.444e-04,2,0,0,1.792e-05,186,0.200,1,0,0,2.104e-05,186,0,8666.662,6.999e-04,0.179,7.648e-04,1.484,0,0,0,0,0.003,4,
38798601,jovicyee,7.221e-05,1,0,0,1.826e-04,1896,0.200,1,0,0,2.145e-04,1896,2.663e-06,29608.348,1.058e-04,0.027,2.771e-04,0.538,0,0,0,0,0.002,2,
441540997,USAmbPH,2.166e-04,3,0,0,0.081,845038,0.120,0.600,0.002,2,0.004,37307,2.009e-05,223320.984,3.950e-04,0.101,9.366e-04,1.817,2.710e-04,3013276.250,0.003,4,0.002,3,
1512000700552826881,sagolej,0,0,0,0,0,3,0,0,0,0,0,3,0,101.998,2.601e-04,0.067,3.413e-04,0.662,0,0,0,0,7.949e-04,1,
1334806362245783552,Robertarms4k,1.444e-04,2,0,0,7.032e-06,73,0.400,2,0,0,8.259e-06,73,0,2469.019,4.397e-04,0.113,4.234e-04,0.821,0,0,0,0,0.002,3,
1642872914,iota2583,1.444e-04,2,0,0,7.466e-05,775,0.400,2,0,0,8.769e-05,775,2.301e-06,25578.832,4.397e-04,0.113,4.234e-04,0.821,0,0,0,0,0.002,3,
70926181,silicataro,1.444e-04,2,0,0,2.039e-04,2117,0.400,2,0,0,2.395e-04,2117,6.146e-06,68331.422,4.127e-04,0.106,2.146e-04,0.416,0,0,0,0,0.002,3,
1348136616058114048,ShellyForce1,4.332e-04,6,0,0,1.215e-04,1261,0.171,0.857,0,0,1.427e-04,1261,2.532e-05,281562.750,0.003,0.804,0.003,6.677,0,0,0,0,0.005,6,
1497649906688958472,puertofv,1.444e-04,2,0,0,1.089e-05,113,0.400,2,0,0,1.279e-05,113,0,3812.719,4.397e-04,0.113,4.234e-04,0.821,0,0,0,0,0.002,3,
455795822,daugmoo,2.166e-04,3,0,0,4.239e-06,44,0.300,1.500,0,0,4.978e-06,44,0,2973.546,8.707e-04,0.223,7.294e-04,1.415,0,0,0,0,0.003,4,
